ID,歌名,創作人,分類,發佈時間,情緒詞彙數,斷詞數,樂,好,怒,哀,懼,惡,驚,正面情緒值,負面情緒值,正負面情緒值,詞均樂,詞均好,詞均怒,詞均哀,詞均懼,詞均惡,詞均驚,詞均正面情緒值,詞均負面情緒值,詞均正負面情緒值
StreetVoice0108,03 失望就去一趟旅行 Pack Up When You Are Let Down,謝芊彤 謝芊蕾,Singer / Songwriter,2015-08-05,13,84,16.5,7.0,0,12.5,0,0,4.0,27.5,12.5,15.0,0.19642857142857142,0.08333333333333333,0.0,0.1488095238095238,0.0,0.0,0.047619047619047616,0.3273809523809524,0.1488095238095238,0.17857142857142858
StreetVoice0109,多想和你一起 (DEMO),黃玠瑋 Zooey Wonder,Singer / Songwriter,2017-12-02,22,131,8.0,63.0,0,3.0,5.0,12.0,0,71.0,20.0,51.0,0.061068702290076333,0.48091603053435117,0.0,0.022900763358778626,0.03816793893129771,0.0916030534351145,0.0,0.5419847328244275,0.15267175572519084,0.3893129770992366
StreetVoice0110,最後一支菸,那我懂你意思了,Rock,2014-01-25,9,146,10.0,0,0,32.625,0,0,0,10.0,32.625,-22.625,0.0684931506849315,0.0,0.0,0.22345890410958905,0.0,0.0,0.0,0.0684931506849315,0.22345890410958905,-0.15496575342465754
StreetVoice0111,我會不會又睡到下午了,DSPS,Folk,2016-10-02,12,85,3.0,24.0,10.0,0,10.0,3.0,0,27.0,23.0,4.0,0.03529411764705882,0.2823529411764706,0.11764705882352941,0.0,0.11764705882352941,0.03529411764705882,0.0,0.3176470588235294,0.27058823529411763,0.047058823529411764
StreetVoice0112,TRASH - 世界盡頭,TRASH,Rock,2014-12-30,26,151,0,-11.2,0,4.04,0.0,20.25,0,-11.2,24.29,-35.489999999999995,0.0,-0.07417218543046357,0.0,0.026754966887417218,0.0,0.13410596026490065,0.0,-0.07417218543046357,0.16086092715231787,-0.23503311258278142
StreetVoice0113,生まれ変わったら,ゲシュタルト乙女 Gestalt Girl,Alternative,2018-03-29,19,314,4.375,5.0,0,5.0,0,9.0,0,9.375,14.0,-4.625,0.01393312101910828,0.01592356687898089,0.0,0.01592356687898089,0.0,0.028662420382165606,0.0,0.029856687898089172,0.044585987261146494,-0.014729299363057325
StreetVoice0114,我憑什麼想念你 Demo,Control T,Singer / Songwriter,2017-03-02,32,124,-7.0,0,0,12.31,3.0,15.25,0,-7.0,30.560000000000002,-37.56,-0.056451612903225805,0.0,0.0,0.0992741935483871,0.024193548387096774,0.12298387096774194,0.0,-0.056451612903225805,0.24645161290322581,-0.3029032258064516
StreetVoice0115,我把你的微笑盡收眼底demo ,洪安妮 AnnieHung,Singer / Songwriter,2017-02-14,21,113,18.28125,3.0,0,0,0,-11.0,0,21.28125,-11.0,32.28125,0.16178097345132744,0.02654867256637168,0.0,0.0,0.0,-0.09734513274336283,0.0,0.1883296460176991,-0.09734513274336283,0.28567477876106195
StreetVoice0116,晚安晚安（不插電現場演出版本－魏如萱 Cover）,Hello Nico,Pop,2015-04-23,15,173,0,-5.0,0,-12.5,0,0.0,0,-5.0,-12.5,7.5,0.0,-0.028901734104046242,0.0,-0.07225433526011561,0.0,0.0,0.0,-0.028901734104046242,-0.07225433526011561,0.04335260115606936
StreetVoice0117,單身情歌 Demo,林正 JanLin,Pop,2014-02-15,38,229,15.0,32.0,0,88.4,0,-26.0,0,47.0,62.400000000000006,-15.400000000000006,0.06550218340611354,0.13973799126637554,0.0,0.3860262008733625,0.0,-0.11353711790393013,0.0,0.2052401746724891,0.27248908296943236,-0.06724890829694326
